day,month,year,log_ret,react_label,equally_weighted_index,equally_weighted_volume,date,common
17,3,2021,-0.0014810703438636072,Down,323.85,308051.0,2021-03-17,1
18,3,2021,-0.007898954814379388,Down,321.3020000000001,403439.4,2021-03-18,1
19,3,2021,-0.014464428736167404,Down,316.688,992565.2,2021-03-19,1
22,3,2021,-0.0039358918894321715,Down,315.444,427460.4,2021-03-22,1
23,3,2021,-0.005454801723354314,Down,313.728,442289.8,2021-03-23,1
24,3,2021,0.006880345809744119,Up,315.894,314682.4,2021-03-24,1
25,3,2021,-0.01225610143602231,Down,312.046,366718.80000000005,2021-03-25,1
26,3,2021,0.01563128003549113,Up,316.962,327686.4,2021-03-26,1
29,3,2021,0.01685601888182353,Up,322.35,280110.60000000003,2021-03-29,1
30,3,2021,0.010320378495266036,Up,325.694,313299.0,2021-03-30,1
31,3,2021,0.005499230006083446,Up,327.49,190824.0,2021-03-31,1
6,4,2021,-0.004339304381301107,Down,326.072,444979.4,2021-04-06,1
7,4,2021,-0.0019462485614234163,Down,325.438,361884.4,2021-04-07,1
8,4,2021,-0.002325725529954274,Down,324.682,376532.80000000005,2021-04-08,1
9,4,2021,0.004051139581407461,Up,326.0,450366.4,2021-04-09,1
12,4,2021,-0.022145246387488302,Down,318.86,405049.60000000003,2021-04-12,1
13,4,2021,0.01426149035329616,Up,323.44000000000005,396793.39999999997,2021-04-13,1
14,4,2021,-0.02628226894445102,Down,315.05,876734.6,2021-04-14,1
15,4,2021,-0.014276960200585768,Down,310.584,743367.8,2021-04-15,1
16,4,2021,0.010569094714309364,Up,313.884,527191.2000000001,2021-04-16,1
19,4,2021,0.0010380612751404409,Up,314.21000000000004,323926.2,2021-04-19,1
20,4,2021,-0.000827814616810044,Down,313.95,412162.0,2021-04-20,1
21,4,2021,-0.006127990907409824,Down,312.03200000000004,290610.60000000003,2021-04-21,1
22,4,2021,0.012319961155331032,Up,315.90000000000003,340281.60000000003,2021-04-22,1
23,4,2021,0.002459776951693487,Up,316.678,328917.8,2021-04-23,1
26,4,2021,0.019333307969650326,Up,322.86,336740.2,2021-04-26,1
27,4,2021,0.0038826836787577623,Up,324.11600000000004,264563.8,2021-04-27,1
28,4,2021,0.01708167366954413,Up,329.7,537558.4,2021-04-28,1
29,4,2021,-0.02168319336071429,Down,322.62800000000004,382992.80000000005,2021-04-29,1
30,4,2021,-0.0061871958049291445,Down,320.63800000000003,410303.60000000003,2021-04-30,1
3,5,2021,0.016259414206612664,Up,325.894,236351.59999999998,2021-05-03,1
4,5,2021,0.03423452885468611,Up,337.244,547001.2000000001,2021-05-04,1
5,5,2021,0.006961750463851854,Up,339.6,489393.0,2021-05-05,1
6,5,2021,0.001882796508185814,Up,340.24,562921.6,2021-05-06,1
7,5,2021,0.012912975711387279,Up,344.66200000000003,452751.60000000003,2021-05-07,1
10,5,2021,-0.009732053849269041,Down,341.324,581823.8,2021-05-10,1
11,5,2021,-0.011450383074207704,Down,337.438,405075.6,2021-05-11,1
12,5,2021,-0.02236186519024641,Down,329.976,841165.0,2021-05-12,1
14,5,2021,-0.018146787522277563,Down,324.04200000000003,400738.0,2021-05-14,1
18,5,2021,0.010382830055503512,Up,327.42400000000004,539632.6,2021-05-18,1
19,5,2021,0.006575286091444998,Up,329.584,383985.8,2021-05-19,1
20,5,2021,0.022572100621023845,Up,337.108,514024.4,2021-05-20,1
21,5,2021,0.02683279114638705,Up,346.276,782835.0,2021-05-21,1
25,5,2021,-0.01952658504725818,Down,339.58000000000004,455151.4,2021-05-25,1
26,5,2021,0.010493078985018257,Up,343.16200000000003,404829.80000000005,2021-05-26,1
27,5,2021,-0.003181397652044455,Down,342.072,908542.3999999999,2021-05-27,1
28,5,2021,0.016560356190893372,Up,347.78400000000005,381867.4,2021-05-28,1
31,5,2021,-0.0077589582181831936,Down,345.09600000000006,242888.40000000002,2021-05-31,1
1,6,2021,-0.0009625142076112808,Down,344.764,376905.6,2021-06-01,1
2,6,2021,0.0210210193673662,Up,352.088,639948.4,2021-06-02,1
3,6,2021,0.01564574951381278,Up,357.64,541668.4,2021-06-03,1
4,6,2021,0.012399046225319654,Up,362.10200000000003,375895.60000000003,2021-06-04,1
7,6,2021,-0.003214200559284828,Down,360.94000000000005,242049.2,2021-06-07,1
8,6,2021,0.0009581489076006686,Up,361.28600000000006,297384.60000000003,2021-06-08,1
9,6,2021,-0.031085517473355046,Down,350.22800000000007,1278489.8,2021-06-09,1
10,6,2021,-0.009057882258490439,Down,347.07000000000005,386407.20000000007,2021-06-10,1
11,6,2021,-0.0009916460405932017,Down,346.72600000000006,316730.60000000003,2021-06-11,1
14,6,2021,0.0014640615906981699,Up,347.23400000000004,346250.4,2021-06-14,1
15,6,2021,-0.0074869040445064775,Down,344.64400000000006,303511.80000000005,2021-06-15,1
16,6,2021,0.011831863321243858,Up,348.74600000000004,432207.80000000005,2021-06-16,1
17,6,2021,-0.001928762688576779,Down,348.074,388970.4,2021-06-17,1
18,6,2021,-0.0008105009166632152,Down,347.79200000000003,734703.2000000001,2021-06-18,1
21,6,2021,0.005756962653992155,Up,349.8,321733.2,2021-06-21,1
22,6,2021,0.006099143939113797,Up,351.94000000000005,419528.2,2021-06-22,1
