day,month,year,log_ret,react_label,date,common
6,2,2018,-0.020194497,Down,2018-02-06,1
7,2,2018,0.026407933,Up,2018-02-07,1
8,2,2018,0.038526813,Up,2018-02-08,0
9,2,2018,-0.00428833,Down,2018-02-09,1
12,2,2018,0.002000635,Up,2018-02-12,1
13,2,2018,0.028500563,Up,2018-02-13,1
14,2,2018,-0.003901335,Down,2018-02-14,1
15,2,2018,0.023917661,Up,2018-02-15,1
16,2,2018,0.028489063,Up,2018-02-16,1
19,2,2018,-0.004519298,Down,2018-02-19,1
20,2,2018,0.001583827,Up,2018-02-20,1
21,2,2018,0.018151796,Up,2018-02-21,1
22,2,2018,0.033693404,Up,2018-02-22,1
23,2,2018,0.013554422,Up,2018-02-23,1
26,2,2018,-0.002085887,Down,2018-02-26,1
27,2,2018,-0.014226368,Down,2018-02-27,1
