topic0,iceland,licens,arnarlax,icelandic_salmon,capac,samherji,laxar,icelandic_salmon_farm,good,arctic_fish,countri,fjord,ice_fish_farm,subsidiari,fish_farm,potenti,gener,biomass,addit,total,east,allow,coast,alreadi,exist,masov,smolt,within,maximum,creat,aim,jonsson,owner,build,mab,gadu,opportun,next_year,equip,next,value_chain,fiskeldi,appli,isk,arctic,formerli,handl,cooper,davidsson,decemb,explor,combin,primari,output,expans,west,oct,assess,char,fulli,newli,hembr,set,final,begin,arnalax,helgason,jon,util,kjartan,erupt,last_year,annual,bjorn,gave,geotherm,salmon_farming_industri,belgium,westfjord,holder,brim,everyth,belgian,gardar,måsøval,slaughter,station,petursson,approxim,initi,present,barg,winter,approv,mri,olafsson,jen,volcano,divest,arnarfjordur
 ,0.129,0.089,0.048,0.047,0.047,0.045,0.04,0.031,0.021,0.019,0.019,0.018,0.017,0.014,0.014,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic71,research,studi,institut,univers,found,marin,farmed_salmon,find,scientist,water,test,speci,show,flavor,scienc,project,center,differ,level,use,natur,trial,wild,life,commerci,wild_salmon,conduct,potenti,collabor,atlant,problem,popul,sever,help,provid,nofima,releas,caus,tast,acid,atlantic_salmon,environ,identifi,known,bacteria,specif,strain,qualiti,affect,carri,parasit,host,lead,effect,fatti,scientif,method,suggest,factor,speed,call,prv,past,healthi,materi,flesh,centr,indic,within,examin,matur,professor,kudoa,color,omega,seawe,purg,understand,health,pesticid,publish,gene,steril,kelp,stream,determin,evid,pathogen,content,mean,stage,saic,unlik,swim,wide,degre,habitat,academ,freshwat,eat
 ,0.099,0.029,0.027,0.022,0.021,0.019,0.019,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic72,invest,fund,investor,capit,firm,partner,ventur,sector,ocean,founder,equiti,technolog,private_equ,sustain,privat,interest,focus,portfolio,milarex,spark,co,potenti,return,aqua,look,seafood_compani,seafood_sector,asset,sever,risk,space,money,advisor,startup,activ,seafood_industri,start,tyssoy,round,mettler,institut,summa,former,pain,holberg,found,tech,recent,scanbio,consid,polish,attract,stage,financi,malek,agricultur,backer,led,schwartz,launch,farstad,pe,triton,walton,economi,particip,van,seed,novogratz,vele,deploy,among,wealth,jordheim,adm,morpol,seek,pioneer,baldegg,nine,close,ace,alreadi,thoma,vehicl,value_chain,inject,hunt,processor,lovethewild,momentum,solv,esg,mar,earli,der,aquatec,robert,beyond,bonafid
 ,0.151,0.084,0.062,0.041,0.023,0.022,0.019,0.017,0.013,0.012,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic73,construct,facil,phase,land,build,project,complet,start,ton,proximar,expans,initi,andfjord_salmon,metric,based_salmon_farm,annual,full,capac,begin,locat,delay,releas,addit,track,site,next,first_harvest,schedul,total,alreadi,end,production_capac,final,stage,approxim,near,hous,estim,area,june,first_half,kvaln,secur,first_quart,andfjord,readi,hog,mileston,design,finish,next_year,pool,gut,progress,earli,tank,commenc,nielsen,pilot,prepar,growout,martin,squar,gener,rasmussen,based_salmon_compani,ramp,foot,instal,spring,mount,nearbi,fast,deliv,ultim,head,place,salmon_per_year,built,fuji,andoya,atlantic_salmon,potenti,third_quart,mid,fourth_quart,timelin,underway,adjac,second_half,set,origin,cost,fish_farm,largest,kick,batch,pipe,nodland,given
 ,0.059,0.057,0.044,0.033,0.033,0.032,0.028,0.025,0.02,0.017,0.017,0.016,0.014,0.014,0.014,0.013,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic74,blue,food,star,busi,move,serv,american,close,help,special,steelhead,tast,relat,recent,brand,throughout,acquir,secur,firm,north_america,north,import,bc,stock,primarili,divis,earlier,presid,columbi,america,coastal,corpor,trade,last_year,aquafarm,exchang,revenu,annual,co,humphrey,keeler,intern,establish,inc,focus,strategi,atlant,corp,latin,subsidiari,mid,bio,small,decemb,privat,commun,turn,retain,independ,california,north_american,pride,call,diversifi,march,fresh,emerg,insid,deep,assist,mexico,ultim,combin,custom,nasdaq,south,effort,sell,system,forward,late,label,carolina,within,financi,crab,new_york,hagen,acquisit,enter,locat,profession,gold,awar,model,miami,walker,line,royal,atkinson
 ,0.06,0.036,0.03,0.018,0.018,0.017,0.016,0.016,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
topic75,regul,environment,govern,area,environ,stock,system,allow,limit,author,assess,regulatori,rule,light,propos,protect,requir,must,impact,level,fisheri,recommend,review,zone,agenc,approv,farmer,implement,maximum,determin,consid,ensur,green,within,countri,traffic,step,densiti,independ,subject,red,marin,set,certain,commiss,measur,committe,submit,call,cycl,forc,applic,decis,updat,framework,ministri,welcom,yellow,subpesca,minist,appli,legal,object,consult,parliament,sepa,strict,indic,wild_salmon,standard,meet,exempt,complianc,draft,adopt,amend,guidelin,argu,restrict,aim,stricter,enforc,resolut,dialogu,code,oblig,affair,reduct,surround,biosecur,potenti,statu,adjust,stakehold,suitabl,thorough,production_capac,exist,studi,rigor
 ,0.058,0.054,0.033,0.032,0.032,0.028,0.02,0.019,0.019,0.018,0.017,0.017,0.016,0.016,0.013,0.013,0.012,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic76,aquachil,chile,blumar,australi,multiexport,chilean,agrosup,chilean_salmon_farm,region,tilapia,clp,magallan,lo,ventisquero,concess,fiordo,busi,addit,consolid,joyvio,subsidiari,friosur,billion,vial,jose,chilean_salmon_compani,approv,chilean_salmon_produc,june,legend,final,posit,sourc,puchi,invermar,chilean_salmon,de,costa,commerci,agri,logist,parent,lyon,conglomer,processing_pl,agre,xi,restructur,xii,agro,lui,chilean_salmon_industri,pesquera,joint_ventur,balbontin,rica,mar,coho,center,delgado,del,arm,la,chilean_salmon_sector,salmon_compani,andr,arena,allow,competitor,punta,intern,adjust,puerto,gerardo,gutierrez,reportedli,highest,patagonia,rainforest,colombia,obtain,sadi,era,hugo,juan,victor,public,central,ramon,giant,montoya,latin,cruz,evalu,empresa,salmon_sector,welcom,natal,martec,perez
 ,0.083,0.048,0.044,0.039,0.038,0.032,0.03,0.024,0.023,0.022,0.022,0.022,0.018,0.017,0.015,0.015,0.014,0.013,0.011,0.011,0.011,0.01,0.01,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic77,claim,welfar,anim,statement,seal,campaign,video,investig,show,assur,suspend,rspca,concern,issu,farmed_salmon,marin,health,post,caus,true,north,site,watch,alleg,found,warn,respons,critic,fish_farm,media,spokesperson,sent,kill,anti,co,taken,activist,press,serious,damag,film,offici,immedi,scottish_sea_farm,human,may,threat,seriou,photo,agenc,documentari,attack,launch,juli,publish,repres,standard,imag,attent,evid,op,place,individu,scottish_salmon,previous,earlier,highlight,pose,breach,allegedli,poor,act,practic,recent,therefor,mark,staniford,visit,appear,brought,reportedli,footag,eat,identifi,remov,load,websit,took,conclud,predat,plant,threaten,satisfi,reloc,shot,deform,unaccept,norwegian_salmon_farm,administr,harm
 ,0.028,0.023,0.02,0.016,0.015,0.014,0.014,0.013,0.013,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic78,rais,farmer,round,sea,capit,sell,sole,reach,local,seek,busi,grow,stolt,return,expand,fund,investor,new_york,goal,nielsen,small,target,halibut,point,outsid,lake,signific,run,fundrais,potenti,across,commerci,ultim,ambiti,earli,place,finger,later,april,platform,facilit,turbot,intend,localcoho,name,combin,commit,alreadi,explor,ton,fresh,roll,lead,near,look,valley,exist,octob,expans,complet,huge,today,attract,began,begin,initi,startup,foot,eight,special,coho,individu,caviar,locat,ssf,excess,experienc,swiss,gibson,doubl,latest,scale,indoor,seven,medium,white,output,hour,call,eventu,seri,delight,acr,crowdfund,sterl,use,hudson,phil,squar,particip
 ,0.066,0.045,0.028,0.019,0.017,0.016,0.016,0.015,0.014,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002
topic79,improv,perform,biolog,strong,good,challeng,posit,better,achiev,contribut,condit,period,deliv,despit,reduc,effici,reflect,signific,record,solid,focu,across,thank,due,maintain,driven,throughout,strengthen,particularli,especi,optim,forward,activ,best,yield,underli,outlook,pleas,whole,gener,robust,struggl,realiz,larg,led,weak,satisfi,profit,util,ad,remain,winter,togeth,ratio,enabl,encourag,excel,key,experienc,capac,same_tim,poor,satisfactori,significantli,recoveri,confid,financi,ongo,attribut,deriv,benefit,reap,therefor,meant,amount,turnaround,greater,success,shown,mix,particular,main,boost,reduct,somewhat,isfjord,help,cost,addit,give,consist,trend,persist,effort,underway,character,systemat,maxim,hamper,adjust
 ,0.059,0.054,0.054,0.053,0.052,0.049,0.045,0.038,0.028,0.024,0.022,0.021,0.02,0.019,0.018,0.016,0.016,0.014,0.014,0.012,0.012,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic80,organ,local,intern,sea,site,ireland,irish,decis,addit,isi,director,mark,third,hope,strong,begin,establish,forc,signific,start,villa,expand,benefit,permiss,custom,bay,job,alreadi,recent,employ,southern,effect,skye,lead,offici,abl,council,osh,appeal,technic,fish_farm,staff,son,jan,licenc,creat,oceanpath,strengthen,first_tim,given,deni,found,august,along,someth,full,spring,europ,intent,refus,visscher,first_harvest,highland,throughout,open,bantri,northeast,basi,extern,thu,reach,north,brouwer,premium,advic,januari,feenstra,elsewher,consist,contribut,round,carr,gael,ove,possibl,involv,wait,incorpor,macinn,agricultur,armannsson,ad,gener,busi,startup,complet,extrem,salmon_product,within,serv
 ,0.088,0.034,0.031,0.027,0.025,0.021,0.019,0.017,0.014,0.014,0.014,0.014,0.013,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002
topic81,temperatur,water,new_zealand,nzd,new_zealand_king_salmon,sanford,impact,ocean,summer,chang,climat,rosewarn,challeng,mussel,grant,sea,six,nz,king_salmon,king,sound,open,bremn,reloc,half,warm,futur,flow,key,warmer,period,forecast,premium,seashor,weather,financial_year,regal,reidi,perform,divers,marlborough,move,particularli,surfac,last,primari,disappoint,model,higher,kuntzsch,busi,experienc,seven,rate,grow,resili,start,nzk,peter,southern,creat,applic,class,chairman,degre,possibl,benefit,second_half,remain,surviv,domest,commod,sealord,resourc,introduc,seafood_gi,earn,plu,consent,enabl,peloru,deeper,island,fulli,ministri,brand,endeavour,volker,ahead,toothfish,pro,ōra,tahu,ryder,fallow,cooler,end,excess,kilomet,right
 ,0.03,0.027,0.027,0.026,0.024,0.021,0.019,0.018,0.017,0.017,0.015,0.014,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.01,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic82,acquisit,acquir,deal,hold,stake,announc,purchas,transact,move,owner,give,control,ownership,major,giant,consolid,percent_stak,asset,competit,buy,interest,largest,famili,merger,complet,buyer,sell,integr,processor,subsidiari,synergi,combin,activ,multi,valu,part,reach,bought,private_equ,snap,rival,potenti,invest,financi,player,approv,merg,sold,run,firm,ltd,bind,togeth,premium,advisor,valuat,form,known,foothold,entiti,exit,takeov,parent_compani,leverag,tag,parent,vertic,bidder,enterpris,formerli,close,signific,offload,enter,resourc,distribut,outsid,fit,minor,antarctica,advis,downstream,disclos,suitor,add,monday,agre,cash,held,sa,string,look,undisclos,special,june,histori,spree,grupo,busi,portfolio
 ,0.096,0.086,0.076,0.028,0.025,0.023,0.021,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic83,worker,employe,case,test,coronaviru,posit,health,covid,commun,plant,quarantin,measur,facil,processing_pl,state,safeti,infect,outbreak,close,peopl,spread,travel,citi,day,region,staff,prevent,labor,protocol,workforc,home,contact,public,protect,local,social,factori,resid,employ,viru,among,arriv,remot,isol,confirm,medic,season,wage,care,distanc,prepar,processor,shift,area,anchorag,week,situat,outsid,requir,daili,individu,person,safe,live,visa,essenti,death,across,june,pandem,servic,face,shut,crisi,neg,non,contagion,identifi,hire,screen,temporarili,strict,receiv,hospit,keep,clean,mask,town,equip,mandat,monitor,juli,room,offic,hygien,conduct,transport,provid,mayor,nonresid
 ,0.064,0.052,0.035,0.032,0.025,0.024,0.021,0.019,0.015,0.015,0.014,0.013,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic84,share,offer,sharehold,total,purchas,approxim,announc,worth,hold,nok,complet,option,transact,stake,repres,capit,outstand,bought,private_plac,proce,intend,alloc,nov,period,buy,sold,close,invest,issu,exist,cash,placement,commit,sell,wednesday,oslo_stock_exchang,addit,act,accept,paid,amount,pre,discount,rais,correspond,aug,book,board,initi,minor,joint,stock_exchang,member,purpos,subscrib,board_of_director,oversubscrib,receiv,asset,common,ordinari,wholli,insid,respect,exercis,subject,sept,snap,minimum,corpor,statement,attract,upon,vote,launch,thursday,subscript,parent_compani,bookbuild,sole,friday,notic,secondari,cornerston,acceler,consider,delist,jan,divid,voluntari,offload,pension,secur,gross,oct,bookrunn,equival,subsidiari,subsequ,largest
 ,0.244,0.082,0.053,0.021,0.018,0.018,0.017,0.017,0.016,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic85,atlantic_sapphir,land,miami,facil,danish,denmark,andreassen,fire,phase,florida,based_salmon_farmer_atlantic_sapphir,based_salmon,based_salmon_farm,plant,system,bluehous,united_st,share_pric,tank,caus,march,investor,string,loss,die,insur,incid,setback,updat,annual,ceo_johan_andreassen,target,oyehaug,complet,lovik,head,earli,biomass,lost,confid,mass,wednesday,ra,problem,gut,close,karl,billund,recirculating_aquaculture_system,septemb,issu,publix,six,execut,oystein,need,supplier,batch,johan,juli,event,giant,commerci,april,latest,emerg,hog,based_salmon_produc,vegard,oxygen,push,langsand,expans,recent,devast,rebuild,blame,rajeswaran,experienc,matur,overcom,last_month,usa,largest,perform,sent,call,struggl,thursday,forc,major,part,face,bjorn,eagl,half,much,founder,second_quart,growout
 ,0.113,0.046,0.035,0.034,0.02,0.019,0.016,0.014,0.014,0.013,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002
topic86,list,oslo,investor,oslo_stock_exchang,trade,share,capit,ipo,stock_exchang,rais,stock,public,merkur_market,announc,cap,publicli,recent,salmones_camanchaca,exchang,valu,euronext,largest,main,move,interest,public_off,initi,began,six,worth,success,bor,santiago,within,valuat,private_plac,seafood_compani,financi,salmon_compani,oversubscrib,firm,combin,feb,advis,debut,liquid,attract,farmer,pareto_secur,dnb,marketplac,engag,part,haug,merkur,among,sjomat,otc,went,dual,pursu,norsk,prepar,day,turbul,major,nov,ticker,pareto,yield,dn,anticip,parent,notc,becom,leap,bør,disclos,ahead,advisor,suit,nergaard,counter,unlock,lumarin,kick,spin,admit,torvang,sletted,possibl,sino,mover,hold,jan,partial,millionair,seek,asa,float
 ,0.173,0.064,0.05,0.038,0.035,0.031,0.027,0.027,0.024,0.024,0.021,0.016,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic87,system,technolog,water,use,feed,energi,data,wast,emiss,solut,sustain,fish_farm,contain,reduc,barg,carbon,digit,environment,provid,close,instal,tech,optim,improv,monitor,ga,power,equip,footprint,welfar,effici,qualiti,aim,advanc,aquaculture_industri,design,enabl,innov,fulli,sludg,collect,pen,flow,clean,intellig,pump,zero,deep,electr,recycl,allow,machin,kind,discharg,ai,softwar,entir,real,consist,scale,depth,sensor,patent,abl,artifici,degre,autom,environ,greenhous,bioga,temperatur,deploy,nutrient,util,oxygen,friendli,trial,tank,camera,technic,better,behavior,engin,seawat,underwat,remot,float,learn,robot,vision,captur,hybrid,shore,automat,wastewat,uniqu,edg,pilot,surfac,hurdl
 ,0.081,0.072,0.045,0.042,0.021,0.017,0.016,0.015,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic88,feed,ingredi,skret,cargil,altern,oil,soy,use,protein,sourc,sustain,fishmeal,supplier,aquaculture_fe,nutreco,nutrit,salmon_fe,fish_fe,deforest,omega,feed_giant,fish_oil,marin,alga,biomar,insect,meal,raw_materi,ewo,anim,diet,cargill_aqua_nutrit,need,brazilian,supply_chain,partnership,giant,bergjord,reduc,alreadi,farmer,brazil,manufactur,commit,aqua,scale,replac,log,carbon,speci,fed,aquafe,algal,footprint,dutch,singl,free,commerci,cut,pressur,salmofood,formul,veget,microalga,aquaculture_industri,cruz,novel,convers,inclus,corbion,soybean,iffo,addit,presid,theres,wheat,terravia,ziv,parent_compani,partner,value_chain,concentr,salmonid,solut,veramari,douki,aller,ferment,black,grown,entir,commod,metric_ton,rich,cell,calysta,win,selecta,northeast,protix
