topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
 ,0.042,0.03,0.027,0.026,0.024,0.019,0.018,0.016,0.014,0.014,0.013,0.012,0.012,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic51,blue,nordlak,move,star,food,american,busi,relat,serv,locat,special,tast,firm,close,exchang,secur,stock,primarili,havfarm,brand,commun,sign,help,steelhead,list,trade,investor,earlier,divis,aquafarm,corpor,presid,massiv,throughout,bc,intern,financi,combin,privat,small,import,forward,focus,greater,within,revenu,new_york,won,corp,call,coastal,acquir,inc,propos,retain,north_america,ocean,march,diversifi,previous,consult,keeler,california,enter,independ,martinussen,decemb,roll,assist,design,system,lar,label,board,co,releas,chairman,effort,optim,counter,america,emerg,pride,seafood_compani,mexico,annual,intent,awar,instead,sell,model,nasdaq,cap,anticip,file,felt,latin,otc,doubt,royal
 ,0.051,0.029,0.023,0.023,0.023,0.017,0.016,0.014,0.013,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic52,earlier,period,compar,total,volum,same_period,higher,atlantic_salmon,sold,decreas,came,lower,amount,kilo,due,reach,averag,explain,fell,last_year,septemb,mainli,fall,prior,coho,nine,trout,regist,salmon_pric,account,meanwhil,doubl,salmon_sal,first_half,neg,biomass,alon,offset,percent_year,average_pric,salmon_harvest,june,percent_year_on_year,went,repres,third_quart,algal_bloom,sept,although,fair,grew,production_cost,partli,better,fall_in_pric,affect,partial,fish_oil,accumul,fair_value_adjust,pre,ex,speci,first_quart,respect,effect,atlantic_salmon_harvest,term,comparison,inventori,third,loss,average_per_kilo,atlantic_salmon_pric,atlantic_salmon_sal,parti,led,chilean_salmon_harvest,jack,previous_year,narrow,output,respond,indirect,fold,unfavor,reduct,invermar,percent_increas,alicorp,correspond,brought,despit,show,black,cost,combin,six,similar,excel
 ,0.087,0.066,0.051,0.045,0.045,0.043,0.039,0.033,0.032,0.029,0.029,0.028,0.025,0.025,0.024,0.024,0.018,0.015,0.015,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topic53,sea_lic,use,treatment,lice,antibiot,vaccin,diseas,reduc,fish_health,health,control,effect,medicin,method,sea,chemic,prevent,resist,treat,problem,use_of_antibiot,mechan,level,welfar,sr,cleaner,trial,usag,count,mortal,strategi,gram,remov,cycl,solut,sealic,toward,pd,reduct,non,veterinari,combat,live,parasit,deploy,bath,anim,infest,hydrogen,stage,tool,biolog,number,wrass,improv,lumpfish,adopt,dose,freshwat,farmer,peroxid,seven,innov,compon,deform,surviv,fight,salmon_farming_industri,free,pharmaq,sensit,immun,scale,adult,salmon_industri,pharmaceut,seek,encourag,techniqu,promis,msd,tout,battl,delous,prove,worldwid,efficaci,combin,laser,part,target,residu,lead,tackl,pancrea,antimicrobi,hydrolic,caligu,slice,comprehens
 ,0.084,0.069,0.055,0.038,0.032,0.026,0.024,0.021,0.018,0.018,0.015,0.014,0.013,0.011,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic54,risk,stock,limit,implement,measur,reduc,allow,regul,area,level,number,place,addit,order,model,cycl,condit,mean,control,avail,ensur,without,rule,consid,minim,requir,farmer,avoid,assess,abl,mitig,countri,maximum,possibl,densiti,necessari,maintain,entir,evalu,factor,need,aim,reduct,prevent,forc,determin,spread,suggest,strict,pose,system,indic,within,subpesca,restrict,stricter,intens,warn,minimum,altern,ad,biosecur,complex,defin,fallow,biolog,exceed,amend,impos,taken,guarante,extern,unnecessari,adjust,pr,enabl,replac,perform,recent,opt,quantiti,updat,undersecretariat,flexibl,neighborhood,use,unus,chang,present,conting,clearli,associ,given,variabl,cannot,output,step,fulfil,face,impli
 ,0.078,0.051,0.04,0.037,0.035,0.032,0.027,0.026,0.024,0.023,0.019,0.018,0.016,0.014,0.014,0.014,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic55,chang,temperatur,new_zealand,water,ocean,nzd,new_zealand_king_salmon,climat,challeng,summer,impact,sanford,six,nz,king_salmon,rosewarn,king,grant,warm,half,futur,grow,sound,premium,open,shift,perform,weather,forecast,mussel,reloc,flow,remain,period,warmer,focu,surfac,primari,financial_year,posit,key,marlborough,regal,success,second_half,degre,adapt,move,strong,benefit,kuntzsch,introduc,surviv,nzk,commod,divers,chairman,resili,better,focus,sealord,southern,ahead,condit,class,experienc,speci,lead,model,seven,plu,sea,higher,pro,ōra,tahu,consent,ministri,toothfish,celsiu,anticip,ryder,kilomet,warn,last,domest,volker,cold,excess,cooler,rate,inshor,possibl,seafood_gi,ngāi,singl,avail,volum,excel,sept
 ,0.034,0.033,0.026,0.026,0.025,0.025,0.022,0.018,0.018,0.018,0.017,0.017,0.016,0.015,0.015,0.014,0.013,0.012,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic56,export,europ,united_st,asia,norwegian_salmon,countri,demand,fresh,air,cargo,logist,european,norwegian_seafood_council,last_year,us_market,norwegian_seafood,flight,import,germani,largest,far,fresh_salmon,volum,nsc,whole,larg,poland,airport,airlin,access,eu,salmon_market,freight,destin,airfreight,travel,passeng,novemb,close,particularli,transport,salmon_export,fli,sever,plane,rout,affect,denmark,tradit,aandahl,asian,franc,shift,via,border,client,paul,aircraft,christma,consumpt,director,greater,strong,larsen,find,turn,north_america,cancel,west,netherland,carrier,oen,toward,sundheim,especi,kroner,octob,itali,oversea,envoy,corona,latam,chang,direct,increasingli,weaken,mainli,trade,united_kingdom,wake,situat,shipment,re,weak,directli,korea,eastern,gangso,farmed_salmon_export,norwegian_salmon_export
 ,0.095,0.043,0.043,0.03,0.028,0.026,0.025,0.018,0.017,0.016,0.015,0.014,0.013,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic57,research,studi,institut,univers,found,farmed_salmon,marin,show,find,flavor,scientist,scienc,center,water,issu,sever,potenti,problem,differ,atlant,speci,conduct,wild,natur,tast,test,caus,wild_salmon,life,identifi,popul,project,strain,atlantic_salmon,environ,nofima,specif,past,qualiti,parasit,releas,collabor,bacteria,health,affect,host,method,commerci,speed,factor,known,prv,carri,matur,claim,help,indic,flesh,kudoa,understand,healthi,purg,present,publish,pesticid,pathogen,scientif,professor,color,suggest,knowledg,evid,gene,conclud,rais,certain,common,within,steril,examin,better,swim,bodi,risk,call,academ,degre,eat,effect,blind,depur,harm,becom,surviv,unlik,muscl,geosmin,triploid,contamin,ga
 ,0.103,0.033,0.028,0.023,0.022,0.019,0.014,0.014,0.014,0.014,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic58,offer,interest,sourc,potenti,sell,bid,buyer,set,accept,comment,sever,reach,part,given,run,parti,initi,final,look,talk,hand,point,remain,attract,alreadi,pay,later,option,receiv,discuss,origin,requir,decid,buy,battl,ask,reportedli,either,negoti,seek,public,bidder,major,minimum,want,premium,forc,submit,owner,far,famili,bind,pain,known,aug,firm,valuat,addit,signific,sold,detail,percentag,express,busi,execut,fair,familiar,desir,scanbio,tag,possibl,rang,bankruptci,consid,deadlin,entir,compet,multipl,oblig,attempt,decis,rival,player,block,dilig,candid,upon,rumor,intent,factor,auction,cover,advis,confirm,el,mid,loom,takeov,particip,resourc
 ,0.06,0.039,0.037,0.026,0.024,0.018,0.018,0.016,0.016,0.015,0.014,0.014,0.014,0.014,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic59,chile,cermaq,chilean,attack,salmonchil,strike,region,countri,author,presid,nation,trade,truck,clement,council,south,salmon_produc,bodi,aim,main,driver,salmon_industri,southern,arm,part,recent,offici,rafferti,mapuch,american,shipment,aysen,offic,arturo,carri,public,chilean_salmon_produc,set,chilean_salmon_industri,protest,puerto,repres,sernapesca,prevent,servic,lago,chilean_salmon,associ,situat,action,goycoolea,mitsubishi,us_market,indigen,montt,tri,conflict,began,secur,run,la,union,brazil,although,yadran,sebastian,led,central,steven,activ,chilo,end,trucker,halt,araucania,unrest,campaign,salmon_product,step,sharp,island,national_fisheri,supplier,block,spark,emerg,road,davidovich,transport,citi,molvik,violent,resolv,quellon,restor,face,pablo,deploy,half,movement
 ,0.09,0.044,0.023,0.02,0.018,0.018,0.017,0.017,0.016,0.015,0.014,0.012,0.012,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic60,china,import,chines,covid,food,export,countri,chinese_market,beij,coronaviru,link,consum,trade,world,board,discoveri,global,wholesal,outbreak,chop,shanghai,main,recent,trace,shipment,fear,across,frozen,commerc,halt,asian,cut,sign,seller,among,viru,stop,media,hong,june,kong,author,ship,chill,contamin,evid,packag,scare,sourc,shun,shelv,found,nation,cni,safeti,braathen,live,news,citi,test,rabobank,amid,ecuadorian,demand,qingdao,terraza,origin,offici,key,spread,remov,influenc,fast,talk,regular,problem,traceabl,port,arriv,supermarket,gfresh,cite,scandal,chilean_salmon_produc,huang,win,onlin,outcom,center,play,seri,xinfadi,target,reuter,newspap,guarante,transmiss,class,known,raw
 ,0.159,0.065,0.061,0.027,0.019,0.017,0.016,0.016,0.015,0.013,0.012,0.012,0.012,0.012,0.011,0.009,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic61,commun,public,social,concern,respons,media,issu,inform,letter,right,critic,ask,call,lack,question,campaign,understand,must,cannot,open,recent,local,peopl,know,respond,repres,fact,govern,associ,human,sent,highlight,claim,address,need,comment,problem,reput,polit,awar,email,engag,aquaculture_industri,trust,voic,reli,influenc,ngo,use,respect,opposit,anti,hard,urg,supply_chain,percept,politician,debat,speak,view,person,suggest,wrote,let,ethic,column,often,stakehold,opinion,want,stand,slaveri,account,written,forc,transpar,matter,ignor,avoid,dialogu,rather,express,scienc,champion,articl,actual,societi,messag,solv,facebook,activist,protest,practic,complex,twitter,celebr,word,documentari,misinform,environmentalist
 ,0.03,0.025,0.023,0.023,0.02,0.02,0.018,0.015,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
topic62,salmar,offshor,ocean,central,fish_farm,invest,witzo,aker,norwegian_salmon_farm,kverva,coastal,project,gustav,ing,northern_norway,open,area,arnarlax,establish,giant,rokk,unit,scale,kjell,eventu,coast,ambit,havbruk,insula,hold,salmon_produc,combin,froya,icelandic_salmon,build,pilot,technolog,value_chain,smart,ervik,sever,compet,olav,strateg,eid,full,lak,equip,organ,expos,refsn,entir,cage,aqualin,opportun,northern,locat,launch,outsid,nordic,iceland,williksen,norwegian_salmon_produc,norwegian_aquacultur,salmon_product,cycl,andrea,suitabl,chairman,collabor,trond,board,leif,steinsvik,fjord,billionair,wholli,ex,stand,partnership,respect,nordhamm,formerli,joint,subsidiari,larg,step,biomarin,carri,tradit,sim,dyrn,holst,norskott,rist,condit,bjorn,oil,ill,similar
 ,0.145,0.086,0.049,0.025,0.022,0.02,0.018,0.016,0.016,0.014,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic63,futur,panel,need,seafood_industri,top,chang,audienc,opportun,today,sector,event,innov,speci,expert,dnb,present,execut,better,past,discuss,drive,bring,panelist,seafood_investor_forum,consolid,forum,key,segment,togeth,sletmo,senior,salmon_industri,exec,london,speaker,confer,speak,integr,head,agre,attende,talseth,miss,room,haug,advantag,amerra,hvistendahl,gather,insight,network,cfo,tradit,limit,vertic,gsmc,connect,few_year,lead,forward,kick,learn,gave,held,full,super,nasf,partner,regist,seafood_sector,diversifi,side,give,dynam,global,look,field,director,exclus,ann,tremend,summit,view,session,attent,deleg,debat,live,topic,dag,believ,explor,david,barrier,arn,attract,trend,afternoon,nyc,new_york
 ,0.029,0.025,0.021,0.018,0.017,0.017,0.016,0.015,0.015,0.015,0.015,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic64,uk,eu,export,trade,brexit,govern,sspo,scottish_salmon,united_kingdom,european,deal,custom,scott,european_union,tariff,scottish,border,problem,scotland,issu,import,need,organis,access,vote,member,agreement,end,delay,ireland,good,channel,sector,agre,cross,relat,busi,grimsbi,forman,minist,chief,leav,negoti,northern,seafood_industri,biggest,disrupt,jan,face,christma,warn,smoker,paperwork,execut,extra,compens,europ,transit,tavish,british,laird,disput,food,forc,full,post,ross,welcom,firm,protocol,particularli,concern,hesketh,health,want,lead,huge,action,confus,urgent,prime,call,duti,fear,singl,red,place,consign,bodi,departur,sandberg,landsburgh,document,truck,task,england,arrang,suspend,remain,prfood
 ,0.074,0.046,0.031,0.03,0.027,0.018,0.016,0.015,0.014,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic65,sustain,gsi,improv,initi,challeng,goal,progress,member,achiev,import,global,collabor,key,futur,togeth,transpar,area,chang,toward,approach,commit,prioriti,part,environment,effort,set,help,focu,knowledg,issu,join,ensur,across,innov,drive,solut,practic,benefit,resourc,discuss,contribut,great,tackl,address,forward,ocean,trust,move,launch,stakehold,engag,target,organ,today,climat,un,decid,focus,collect,main,biosecur,individu,interview,standard,share,past,experi,head,common,particip,competit,live,seri,aspect,uniqu,commun,must,run,realiz,advanc,greater,wwf,agenda,planet,platform,everyon,overcom,exclus,fish_health,foundat,co,best,better,need,action,world,proactiv,term,cours,pre
 ,0.094,0.03,0.03,0.026,0.025,0.02,0.02,0.019,0.019,0.018,0.018,0.016,0.016,0.015,0.014,0.014,0.014,0.011,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic66,director,execut,role,board,former,join,appoint,posit,serv,offic,name,hire,team,cfo,chief,replac,step,member,experi,chairman,head,coo,vice_presid,announc,previous,held,prior,lead,exec,senior,left,founder,resign,bring,promot,respons,move,leav,took,jan,januari,becom,newli,chair,interim,ex,act,background,top,veteran,consult,spent,retir,board_of_director,variou,formerli,career,martin,departur,transit,deputi,part,excit,task,found,oct,leadership,overse,thoma,alongsid,june,cto,md,advisori,boss,poach,busi,linkedin,spearhead,david,ann,hold,procur,rein,reshuffl,committe,partner,bluefront,longtim,onboard,master,advis,bjarn,vast,reorgan,extens,perman,landmark,profil,kristian
 ,0.069,0.062,0.043,0.036,0.034,0.034,0.028,0.027,0.026,0.023,0.023,0.02,0.018,0.018,0.018,0.017,0.016,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic67,chile,camanchaca,blumar,chilean,multiexport,australi,salmones_camanchaca,chilean_salmon_farm,garcia,ventisquero,coho,santiago,chilean_salmon_produc,ricardo,joyvio,subsidiari,posit,chilean_salmon,pesquera,vial,addit,legend,jose,bluglaci,chilean_salmon_compani,among,el,help,atlantic_salmon,third,salmon_product,stock_exchang,total,joint_ventur,salmon_compani,balbontin,lyon,montoya,lui,agri,daniel,nino,output,torr,earlier,highest,fuel,line,parent,processing_pl,andr,mussel,gerardo,return,atlantic_salmon_harvest,mar,arena,allow,wfe,ventur,farmed_salmon_produc,goycoolea,respect,spike,punta,vice,lago,atlantic_salmon_product,del,fourth,joint,notif,adjust,silversid,alongsid,partial,gutierrez,arm,pain,heavi,calbuco,evalu,conglomer,center,lifestyl,compania,oceanograph,salmon_produc,togeth,fernandez,strongest,miguel,six,compañía,ramon,turn,urbina,evelyn,oval,negocio
 ,0.081,0.077,0.058,0.049,0.045,0.045,0.043,0.028,0.026,0.021,0.021,0.014,0.013,0.013,0.013,0.012,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic68,start,may,april,june,march,end,juli,septemb,januari,announc,februari,final,date,august,delay,begin,due,period,full,decemb,complet,releas,octob,began,later,novemb,earli,fulli,mid,last,late,extend,previous,earlier,schedul,lost,feb,anticip,six,summer,recent,return,timelin,finish,seven,resum,updat,ramp,restart,prompt,run,set,first_tim,origin,temporari,reveal,rest,sept,dec,major,deadlin,jan,nearli,nov,extens,next_year,subsequ,held,monthli,third,fourth,roughli,progress,detail,breath,swing,ago,reach,similar,last_year,half,purchas,abl,led,within,relat,setback,signific,kick,mark,notic,given,yet,firm,met,tuesday,send,meant,pace,cite
